activation_id,deal_text,header_text,link_text,link_href,full_text
23,Save up to $170,7 days free + 50% off annual plans,Sign up through this link,https://try.waalaxy.com/3h1bz01n62go,Sign up through this link
24,Save up to $558,50% off all Yousign Apps plans or 30% off all Yousign API plans,link ,https://yes.yousign.com/ambassador-demo-request?partner=Join%20Secret&related_partner_lookup_=0013X00002oEcvU,Follow this link to request a demo and redeem the offer.
25,Save up to $20,14 days free,Sign up via this link,https://affiliatepartner.freshdesk.com/73lra0jit9kc,Sign up via this link
26,Save up to $558,50% off all Yousign Apps plans or 30% off all Yousign API plans,link ,https://yes.yousign.com/ambassador-demo-request?partner=Join%20Secret&related_partner_lookup_=0013X00002oEcvU,Follow this link to request a demo and redeem the offer.
27,"Save up to $1,188",20% off monthly and annual plans for 1 year,Sign-up with this link,https://kaspr.partnerlinks.io/8kq46phy0p91,"Sign-up with this link. If you do not signup to this link, the offer will not be applicable. For monthly plans, use the promo code secret2024m at checkout. For yearly plans, use the promo code secret2024y at checkout."
29,Save up to $100,2 months free on the Basic and Smart plans,Sign up via this link,https://lb.affilae.com/r/?p=5ce4f2a2b6302009e29d84f3&af=190&lp=https%3A%2F%2Fqonto.com%2Ffr%2Fopen-an-account%3Futm_medium%3Daffilaefr%26utm_source%3Daffiliate%26utm_campaign%3Djoinsecret,"Sign up via this link. If you do not signup to this link, the offer will not be applicable. Use the coupon JOINSECRET2M at checkout to activate the discount."
30,"Save up to $1,800","$1,800 in credits for 1 year",twiliostartups@twilio.com,mailto:twiliostartups@twilio.com,"To speed up the process, ensure you use the same company domain and email address so SendGrid can verify who you are. Please do not use gmail etc. Your application will be processed within 5 business days. For program related questions please contact twiliostartups@twilio.com"
32,"Save up to $1,000","$1,000 in credits for 1 year",Fill in that form,https://airtable.com/shrefjiwkYHR8m9YG,Fill in that form
33,Save up to $170,7 days free + 50% off annual plans,Sign up through this link,https://try.waalaxy.com/3h1bz01n62go,Sign up through this link
34,"Save up to $2,000",25% off any plan for 12 months,Signup here.,https://phantombuster.com?deal=perk-secret-ysairypb,"Signup here. If you do not signup to this link, the offer will not be applicable. Your coupon is perk-secret-ysaIRypB."
35,"Save up to $2,376",20% off for 12 months,Sign up for Pipedrive through this link,https://aff.trypipedrive.com/jeanloupkarst1356,Sign up for Pipedrive through this link
36,"Save up to $1,800","$1,800 in credits for 1 year",twiliostartups@twilio.com,mailto:twiliostartups@twilio.com,"To speed up the process, ensure you use the same company domain and email address so SendGrid can verify who you are. Please do not use gmail etc. Your application will be processed within 5 business days. For program related questions please contact twiliostartups@twilio.com"
37,"Save up to $1,800","$1,800 in credits for 1 year",twiliostartups@twilio.com,mailto:twiliostartups@twilio.com,"To speed up the process, ensure you use the same company domain and email address so SendGrid can verify who you are. Please do not use gmail etc. Your application will be processed within 5 business days. For program related questions please contact twiliostartups@twilio.com"
38,"Save up to $1,000",20% off Unlimited and Business plans for 1 year,Sign up for a new ClickUp account via this link,https://try.web.clickup.com/5uestd,Sign up for a new ClickUp account via this link
39,Save up to $270,€40 discount on the €139/month plan for 6 months,Sign-up with this link,https://app.coldcrm.com/?utm_source=joinsecret,Sign-up with this link. Use the unique promotional code q9DPwyL7
40,"Save up to $2,376",20% off for 12 months,Sign up for Pipedrive through this link,https://aff.trypipedrive.com/jeanloupkarst1356,Sign up for Pipedrive through this link
41,Save up to $170,7 days free + 50% off annual plans,Sign up through this link,https://try.waalaxy.com/3h1bz01n62go,Sign up through this link
43,"Save up to $1,000","$1,000 in credits for 1 year",Fill in that form,https://airtable.com/shrefjiwkYHR8m9YG,Fill in that form
44,"Save up to $5,661",75% off the annual Starter and Standard Plans,Sign up via this link,https://get.brevo.com/gb93jt806fxk,Sign up via this link
45,Save up to $42,50% off on annual plan,Sign-up with this link,https://app.freebe.me/signup/email/?utm_source=joinsecret,Sign-up with this link. Your unique promotionnal code is SECRET50
46,"Save up to $2,000",25% off any plan for 12 months,Signup here.,https://phantombuster.com?deal=perk-secret-ysairypb,"Signup here. If you do not signup to this link, the offer will not be applicable. Your coupon is perk-secret-ysaIRypB."
47,"Save up to $2,376",20% off for 12 months,Sign up for Pipedrive through this link,https://aff.trypipedrive.com/jeanloupkarst1356,Sign up for Pipedrive through this link
